REGIAO: Sudeste;
UF: SP;
ESTACAO: A711;
NOME: SAO PAULO - MIRANTE;
CODIGO (WMO): A711;
LATITUDE: -23.496;
LONGITUDE: -46.62;
DATA DE FUNDACAO: 01/01/1960;

Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);VENTO, VELOCIDADE HORARIA (m/s);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mb);
2022/01/03;1200;0,6;18,5;20,6;16,5;75,0;78,3;68,4;1,5;952,1;
2022/01/03;1500;0,3;21,1;22,7;19,3;69,6;74,8;63,3;2,2;940,0;
2022/01/03;1800;0,1;21,9;23,1;19,5;76,6;81,4;72,6;0,2;939,7;
2022/01/03;2100;0,1;23,0;24,4;21,6;95,9;99,8;91,6;0,7;948,1;
2022/01/04;0000;1,6;24,3;25,4;22,6;76,3;82,8;70,8;4,8;942,3;
2022/01/04;0300;0,2;22,0;24,7;19,3;74,5;79,7;70,5;0,7;936,1;
2022/01/04;0600;0,2;18,1;19,7;15,5;78,0;82,4;73,4;1,9;943,5;
2022/01/04;0900;0,3;26,1;28,2;23,9;57,4;62,0;52,2;0,1;947,2;
2022/01/04;1200;0,2;25,2;27,7;23,0;66,2;71,7;61,0;0,4;942,8;
2022/01/04;1500;0,5;26,0;27,6;23,6;66,2;71,1;61,6;2,7;949,7;
2022/01/04;1800;0,6;19,4;21,7;18,0;50,7;55,3;44,3;0,6;953,1;
2022/01/04;2100;0,3;21,2;24,1;20,3;66,3;71,8;61,4;1,2;942,8;
2022/01/05;0000;0,3;26,1;28,4;24,6;71,1;77,2;66,7;2,8;939,2;
2022/01/05;0300;0,6;24,4;26,0;22,6;66,6;70,0;63,7;0,1;935,5;
2022/01/05;0600;0,2;19,3;21,6;17,5;76,1;79,5;70,8;0,5;944,8;
2022/01/05;0900;0,1;20,5;22,0;17,9;78,2;84,7;74,4;2,0;931,1;
2022/01/05;1200;0,1;21,5;23,4;19,8;61,2;65,8;55,3;0,9;940,4;
2022/01/05;1500;0,4;15,4;17,5;13,1;67,3;73,1;62,4;0,6;938,7;
2022/01/05;1800;1,8;20,1;22,0;17,8;64,2;68,4;59,2;1,7;932,0;
2022/01/05;2100;0,2;22,6;24,6;21,4;53,7;58,1;49,1;2,0;946,2;
2022/01/06;0000;0,2;18,9;21,6;16,7;99,4;100,0;93,4;1,7;935,2;
2022/01/06;0300;0,1;22,8;24,8;20,7;64,9;69,9;60,3;1,9;942,7;
2022/01/06;0600;0,2;25,3;27,3;22,8;69,6;75,7;63,7;7,5;942,6;
2022/01/06;0900;0,3;27,3;29,9;25,0;66,6;71,0;62,3;4,8;933,8;
2022/01/06;1200;0,3;22,6;23,8;21,0;70,0;73,8;66,2;0,4;927,4;
2022/01/06;1500;0,5;21,0;23,8;18,5;80,0;84,7;73,1;3,1;937,1;
2022/01/06;1800;0,9;18,2;19,2;15,8;63,6;68,5;58,2;1,3;942,3;
2022/01/06;2100;0,8;23,1;25,3;21,8;71,2;76,7;63,9;1,0;942,0;
2022/01/07;0000;1,0;19,5;22,2;17,5;69,1;72,7;64,6;9,4;939,6;
2022/01/07;0300;0,2;26,7;28,5;24,7;76,6;80,8;72,1;0,6;946,5;
2022/01/07;0600;0,1;22,6;24,8;19,3;72,3;76,7;67,7;3,0;939,0;
2022/01/07;0900;0,1;24,3;26,1;22,0;58,8;62,8;54,4;0,5;932,8;
2022/01/07;1200;0,1;27,9;30,1;25,5;76,4;79,1;71,3;1,1;942,3;
2022/01/07;1500;0,5;16,0;18,0;14,2;63,9;69,9;59,1;2,7;941,1;
2022/01/07;1800;0,5;21,8;23,4;19,8;77,1;81,5;71,6;0,6;939,6;
2022/01/07;2100;0,2;18,3;21,6;16,2;50,9;55,0;44,5;3,5;944,1;
2022/01/08;0000;0,0;23,9;25,8;21,7;60,7;65,4;58,3;1,2;941,0;
2022/01/08;0300;0,7;18,2;20,2;14,6;69,5;73,9;64,4;4,8;924,9;
2022/01/08;0600;0,3;20,3;22,3;18,2;79,5;84,9;75,6;0,9;936,9;
2022/01/08;0900;0,3;22,4;25,2;20,3;58,6;63,9;53,8;4,0;933,0;
2022/01/08;1200;0,0;27,2;29,2;25,6;73,8;78,5;67,5;1,7;941,0;
2022/01/08;1500;0,0;22,4;24,5;20,5;71,7;76,1;66,5;4,5;935,4;
2022/01/08;1800;0,3;19,2;22,2;17,5;74,2;77,6;69,5;4,0;931,8;
2022/01/08;2100;0,2;19,6;22,1;18,2;75,0;80,3;71,6;5,2;943,6;
2022/01/09;0000;0,1;22,3;23,9;20,4;72,7;78,7;67,2;0,3;940,6;
2022/01/09;0300;0,5;20,8;22,8;20,1;64,0;70,7;58,6;3,9;942,6;
2022/01/09;0600;0,2;21,9;24,5;19,6;57,2;61,5;52,8;2,0;946,8;
2022/01/09;0900;0,0;20,8;23,0;18,8;66,8;70,9;61,8;2,1;936,1;
2022/01/09;1200;0,0;24,0;25,6;22,1;68,7;73,3;62,9;4,6;931,3;
2022/01/09;1500;0,0;15,8;17,6;12,8;73,8;80,3;67,7;1,4;933,0;
2022/01/09;1800;0,1;18,4;19,6;16,9;74,8;80,4;69,4;0,3;934,9;
2022/01/09;2100;0,2;25,5;27,8;24,3;73,2;77,1;67,8;1,3;943,8;
2022/01/10;0000;0,6;24,8;26,4;22,8;76,9;79,9;71,5;2,3;935,3;
2022/01/10;0300;0,2;22,4;24,9;20,9;76,1;80,1;71,6;1,1;931,3;
2022/01/10;0600;0,0;24,7;26,9;23,2;77,3;82,5;71,8;2,6;940,5;
2022/01/10;0900;1,2;20,4;22,5;18,0;66,2;71,9;61,1;0,6;939,3;
2022/01/10;1200;0,3;21,1;23,5;19,2;70,1;76,7;64,3;1,9;941,3;
2022/01/10;1500;0,0;28,6;30,8;27,3;66,8;70,2;60,6;0,5;941,1;
2022/01/10;1800;0,2;20,0;22,1;18,1;64,0;71,2;58,8;0,0;940,4;
2022/01/10;2100;0,0;21,2;22,6;20,1;81,1;85,6;78,3;3,2;932,6;
2022/01/11;0000;0,3;23,3;25,6;21,5;80,0;83,6;73,4;0,7;941,2;
2022/01/11;0300;1,3;24,0;25,1;22,1;79,4;83,3;73,0;0,8;930,0;
2022/01/11;0600;0,3;16,4;18,0;14,1;82,3;86,6;77,1;3,0;950,7;
2022/01/11;0900;0,1;19,6;22,2;18,0;73,8;78,9;68,4;0,8;934,5;
2022/01/11;1200;0,2;19,6;21,6;18,1;65,1;70,7;59,8;2,7;948,8;
2022/01/11;1500;0,7;17,0;18,1;15,2;67,4;71,6;62,8;0,3;943,7;
2022/01/11;1800;0,3;20,2;22,5;17,6;77,0;81,8;72,4;1,8;941,6;
2022/01/11;2100;0,2;23,9;26,2;22,2;71,9;77,3;65,5;0,3;939,2;
2022/01/12;0000;0,3;20,9;22,5;18,4;79,7;82,2;73,4;6,4;942,5;
2022/01/12;0300;0,3;16,3;18,1;14,0;75,3;80,0;70,2;1,5;940,7;
2022/01/12;0600;0,4;17,0;18,6;15,0;74,7;79,7;70,7;4,2;941,2;
2022/01/12;0900;0,1;19,8;22,0;17,2;77,7;81,6;73,7;0,9;943,7;
2022/01/12;1200;1,6;19,7;21,4;17,8;69,5;72,7;64,3;1,1;942,4;
2022/01/12;1500;0,3;21,9;24,2;19,6;61,1;66,1;55,8;3,0;941,5;
2022/01/12;1800;0,5;21,7;24,1;19,2;71,5;77,8;66,3;0,8;936,5;
2022/01/12;2100;0,2;25,9;27,7;24,4;64,9;70,7;60,5;1,3;936,2;
2022/01/13;0000;0,4;25,3;26,6;22,7;80,4;86,0;75,4;1,3;951,4;
2022/01/13;0300;0,8;15,7;18,1;13,8;88,6;93,9;84,3;0,1;935,7;
2022/01/13;0600;0,5;21,3;22,2;19,9;59,4;61,8;53,8;2,6;934,7;
2022/01/13;0900;0,5;22,9;24,9;21,4;67,8;71,5;64,6;0,6;935,7;
2022/01/13;1200;0,4;19,4;21,9;16,8;72,4;76,9;68,4;0,5;944,2;
2022/01/13;1500;0,1;20,5;22,6;19,3;66,6;72,0;62,3;0,9;933,9;
2022/01/13;1800;0,1;18,3;20,7;15,6;84,5;89,3;79,6;2,1;936,0;
2022/01/13;2100;0,0;19,4;22,1;17,6;80,7;85,0;76,8;1,9;948,5;
2022/01/14;0000;0,1;16,4;18,1;13,5;68,1;70,6;63,5;4,5;942,8;
2022/01/14;0300;1,1;22,7;24,6;21,1;66,7;71,2;63,3;0,2;942,4;
2022/01/14;0600;0,2;19,4;22,0;16,8;67,7;72,7;63,2;0,6;940,0;
2022/01/14;0900;0,5;23,2;26,1;21,5;64,1;70,0;61,9;0,1;935,0;
2022/01/14;1200;0,6;24,9;26,4;23,2;70,9;76,6;65,9;0,1;939,7;
2022/01/14;1500;0,7;20,5;22,4;18,9;62,7;69,0;58,4;3,5;938,9;
2022/01/14;1800;0,2;24,4;25,4;23,2;70,7;75,7;67,3;1,0;941,4;
2022/01/14;2100;0,0;23,8;25,9;22,7;60,7;65,5;55,7;3,5;937,1;
2022/01/15;0000;0,0;20,4;22,5;17,4;79,2;83,8;74,4;1,1;946,4;
2022/01/15;0300;0,3;25,2;27,3;22,4;66,6;72,1;60,3;2,6;943,0;
2022/01/15;0600;0,4;21,0;22,4;19,2;77,9;83,9;74,9;0,1;937,2;
2022/01/15;0900;0,5;22,9;25,0;21,3;83,1;89,0;75,9;5,1;938,2;
2022/01/15;1200;1,6;16,8;18,9;13,8;72,5;78,1;67,0;4,2;933,4;
2022/01/15;1500;0,5;18,6;20,3;16,7;78,9;83,1;76,4;1,0;935,7;
2022/01/15;1800;0,7;19,0;19,3;17,5;71,1;73,8;65,5;0,0;942,3;
2022/01/15;2100;0,4;21,5;23,7;19,7;65,7;70,1;61,0;0,5;950,1;
2022/01/16;0000;0,0;18,6;20,6;16,6;43,8;48,9;39,5;3,1;931,3;
2022/01/16;0300;0,6;22,2;24,7;20,2;79,3;86,4;74,4;2,1;941,1;
2022/01/16;0600;0,2;19,3;21,8;16,8;73,7;80,2;67,6;0,3;944,2;
2022/01/16;0900;1,1;24,7;25,4;22,8;80,9;86,9;77,4;7,5;935,4;
2022/01/16;1200;0,5;22,7;24,6;20,8;71,3;76,1;66,6;2,6;940,4;
2022/01/16;1500;0,3;25,4;27,1;23,4;69,4;72,9;63,8;4,5;945,7;
2022/01/16;1800;0,5;16,9;19,2;14,0;70,1;75,2;63,8;9,1;940,5;
2022/01/16;2100;0,4;21,0;23,0;18,6;78,4;81,3;72,7;0,9;940,8;
2022/01/17;0000;0,3;23,5;24,8;21,1;80,4;84,6;75,2;0,0;938,4;
2022/01/17;0300;0,3;20,2;22,5;18,1;77,2;83,3;70,6;3,1;936,2;
2022/01/17;0600;0,1;22,1;24,3;20,2;58,2;64,0;52,6;1,6;940,9;
2022/01/17;0900;0,3;22,9;25,8;20,7;57,0;62,5;50,8;1,1;938,4;
2022/01/17;1200;0,0;21,9;23,6;19,5;63,5;67,6;58,9;0,1;941,2;
2022/01/17;1500;0,4;19,7;22,0;17,4;70,8;75,6;65,0;0,8;943,0;
2022/01/17;1800;0,2;23,8;25,5;22,6;73,3;78,5;68,0;3,3;941,9;
2022/01/17;2100;0,0;23,2;25,0;20,8;81,9;86,5;78,7;5,3;936,0;
2022/01/18;0000;0,1;21,7;22,9;20,0;71,3;76,9;65,3;5,4;938,0;
2022/01/18;0300;0,1;21,3;23,7;19,0;71,2;77,5;66,5;0,9;945,4;
2022/01/18;0600;0,1;21,7;22,8;19,8;77,4;83,2;71,1;0,8;943,3;
2022/01/18;0900;0,5;19,3;21,4;17,8;67,4;71,9;62,4;0,2;939,4;
2022/01/18;1200;0,5;22,2;24,3;20,0;68,3;73,8;62,3;0,2;934,2;
2022/01/18;1500;1,4;18,5;20,9;16,1;68,4;74,0;63,8;1,1;939,9;
2022/01/18;1800;0,3;25,7;28,9;24,4;66,5;70,8;60,1;2,6;938,0;
2022/01/18;2100;0,8;22,1;23,3;19,7;74,1;78,6;68,3;0,1;939,0;
2022/01/19;0000;0,4;16,0;18,6;13,1;60,1;65,4;53,6;6,7;933,4;
2022/01/19;0300;1,0;15,1;17,0;13,1;81,3;88,6;75,6;4,0;931,3;
2022/01/19;0600;0,6;22,9;24,8;20,4;55,9;61,8;49,3;1,7;943,9;
2022/01/19;0900;0,7;15,0;17,1;12,8;62,5;67,8;59,1;0,3;940,1;
2022/01/19;1200;1,0;22,8;26,0;21,3;76,9;80,7;70,8;1,2;935,5;
2022/01/19;1500;0,0;23,1;24,8;21,2;62,1;66,7;56,8;3,0;939,9;
2022/01/19;1800;0,2;25,2;26,9;22,4;68,3;74,9;63,0;2,2;932,2;
2022/01/19;2100;0,0;20,8;22,8;18,0;56,9;61,0;51,7;2,7;941,6;
2022/01/20;0000;0,6;25,3;26,3;23,7;77,7;82,6;72,0;1,2;936,7;
2022/01/20;0300;0,9;20,7;22,7;19,1;71,9;76,5;66,6;0,2;941,3;
2022/01/20;0600;0,3;19,3;21,6;17,2;66,3;72,2;61,2;2,0;934,5;
2022/01/20;0900;0,2;26,6;28,9;24,4;65,5;70,8;62,7;0,7;934,5;
2022/01/20;1200;0,3;25,6;27,7;23,3;69,1;74,1;65,9;3,4;943,9;
2022/01/20;1500;0,5;22,5;24,3;20,2;68,6;73,5;62,5;0,3;945,0;
2022/01/20;1800;0,2;24,7;26,0;22,6;71,9;75,2;67,9;0,3;941,1;
2022/01/20;2100;0,2;17,2;18,8;15,3;85,7;90,1;80,8;2,6;941,6;
2022/01/21;0000;0,4;26,8;28,0;24,4;64,5;69,3;59,9;0,7;935,0;
2022/01/21;0300;0,4;19,5;21,4;17,8;73,3;76,4;69,2;0,9;936,2;
2022/01/21;0600;0,3;20,2;22,0;18,1;79,1;83,5;73,8;0,4;939,8;
2022/01/21;0900;0,6;18,3;19,4;15,7;78,3;83,8;72,0;9,2;942,7;
2022/01/21;1200;0,3;18,7;20,8;15,9;66,7;71,4;61,3;2,6;935,7;
2022/01/21;1500;0,5;21,8;23,9;19,5;60,0;63,7;55,1;4,9;939,9;
2022/01/21;1800;0,2;19,0;21,0;17,0;85,7;90,3;81,9;2,8;942,1;
2022/01/21;2100;0,4;24,9;27,7;22,8;61,7;67,1;56,8;2,7;934,7;
2022/01/22;0000;0,5;25,6;27,7;24,4;86,0;89,6;81,9;0,5;938,5;
2022/01/22;0300;0,1;23,4;24,8;21,5;78,2;84,3;72,4;0,6;942,3;
2022/01/22;0600;0,1;23,8;25,8;22,2;78,1;82,5;71,7;0,6;937,1;
2022/01/22;0900;0,2;20,6;22,9;18,7;84,0;88,9;80,0;2,3;941,1;
2022/01/22;1200;0,9;16,3;17,9;14,1;55,9;62,5;51,3;0,4;925,5;
2022/01/22;1500;1,0;28,9;31,6;27,2;63,8;68,7;57,2;0,2;940,1;
2022/01/22;1800;0,7;17,2;19,8;14,9;59,9;64,2;55,1;1,1;945,5;
2022/01/22;2100;0,4;22,6;25,1;20,4;62,9;67,9;58,4;0,2;945,8;
2022/01/23;0000;0,2;19,6;20,8;17,6;73,4;79,4;67,7;0,3;934,7;
2022/01/23;0300;0,0;19,1;21,2;16,8;58,4;63,7;53,1;1,2;934,4;
2022/01/23;0600;0,3;16,0;18,5;13,5;69,6;75,0;65,7;4,7;933,8;
2022/01/23;0900;0,7;22,4;24,6;20,7;58,8;63,3;52,7;0,1;943,5;
2022/01/23;1200;0,1;22,4;24,1;20,7;63,7;68,9;58,5;2,0;938,9;
2022/01/23;1500;0,3;19,5;21,5;17,2;65,5;71,2;59,9;3,6;938,4;
2022/01/23;1800;0,1;19,4;21,0;17,0;66,6;72,3;62,7;1,9;932,1;
2022/01/23;2100;0,3;20,1;22,7;17,6;76,5;82,0;72,2;2,3;932,6;
2022/01/24;0000;0,0;18,6;20,7;16,7;62,8;66,4;57,5;0,8;939,5;
2022/01/24;0300;0,0;21,3;23,5;18,7;78,5;84,3;74,0;4,4;936,5;
2022/01/24;0600;0,0;19,5;21,9;17,1;57,3;63,3;52,0;5,2;940,1;
2022/01/24;0900;0,2;24,8;26,9;23,2;64,9;70,1;59,7;1,7;943,1;
2022/01/24;1200;0,2;18,8;20,8;16,9;73,1;77,1;69,5;1,3;936,3;
2022/01/24;1500;0,6;27,9;29,7;25,7;62,3;66,5;58,3;1,4;936,9;
2022/01/24;1800;0,0;25,6;27,9;23,2;67,9;75,0;63,7;1,1;945,0;
2022/01/24;2100;0,2;20,2;22,3;17,7;62,5;68,1;57,2;0,1;935,9;
2022/01/25;0000;0,3;22,1;24,8;19,2;65,0;72,6;60,5;1,8;935,0;
2022/01/25;0300;0,0;17,3;19,4;14,8;71,2;76,2;65,8;1,6;932,2;
2022/01/25;0600;0,6;20,4;21,8;19,1;73,6;78,5;67,0;0,7;945,9;
2022/01/25;0900;0,3;22,0;24,1;19,4;81,7;87,3;75,3;0,3;941,0;
2022/01/25;1200;0,1;19,5;22,1;17,6;78,2;82,4;74,2;1,2;943,9;
2022/01/25;1500;0,2;25,2;27,5;22,5;76,5;81,1;71,4;3,8;940,6;
2022/01/25;1800;0,7;18,2;19,5;16,3;71,5;75,2;65,4;1,1;935,8;
2022/01/25;2100;0,1;24,3;25,8;22,6;67,7;72,4;61,6;0,7;941,9;
2022/01/26;0000;0,0;22,0;23,9;19,9;57,8;65,0;54,5;1,0;933,8;
2022/01/26;0300;0,0;23,4;25,3;22,0;67,3;73,0;61,3;2,8;947,9;
2022/01/26;0600;1,3;19,6;21,9;16,9;55,2;60,2;51,5;0,4;940,4;
2022/01/26;0900;0,2;26,7;27,8;25,5;83,2;88,5;78,2;2,6;944,5;
2022/01/26;1200;0,5;21,5;22,6;19,9;56,1;61,1;49,7;0,4;944,4;
2022/01/26;1500;0,1;22,7;24,7;21,4;76,7;82,9;71,7;5,8;938,3;
2022/01/26;1800;0,0;23,9;26,1;21,1;67,4;73,1;62,0;1,5;943,8;
2022/01/26;2100;0,1;26,3;27,3;24,2;75,7;79,9;70,3;4,3;941,8;
2022/01/27;0000;0,9;17,5;19,5;14,8;78,1;81,8;73,3;1,1;939,5;
2022/01/27;0300;0,1;21,0;22,7;17,8;56,8;61,8;51,7;0,4;943,3;
2022/01/27;0600;0,0;23,1;24,9;21,4;79,9;83,9;75,6;5,1;941,8;
2022/01/27;0900;0,2;23,7;25,6;21,5;72,6;77,3;68,6;1,3;944,9;
2022/01/27;1200;0,1;19,9;22,7;17,4;68,7;74,7;62,7;1,2;932,4;
2022/01/27;1500;0,9;23,3;25,3;21,2;79,0;83,6;73,2;2,5;936,9;
2022/01/27;1800;0,2;18,3;20,3;15,9;75,1;81,6;70,6;3,0;937,6;
2022/01/27;2100;0,1;22,0;23,6;19,8;57,9;64,1;53,5;3,0;940,2;
2022/01/28;0000;0,1;23,5;26,1;21,4;74,1;80,4;70,3;1,9;937,4;
2022/01/28;0300;1,1;27,4;29,9;25,4;87,5;91,4;82,0;0,4;939,5;
2022/01/28;0600;0,6;21,6;24,0;19,3;71,9;77,7;65,5;2,1;941,1;
2022/01/28;0900;0,1;20,1;22,1;17,8;56,9;62,2;51,2;6,9;940,5;
2022/01/28;1200;0,1;18,6;21,0;16,9;84,6;90,7;79,3;1,2;949,1;
2022/01/28;1500;0,2;19,7;22,5;18,8;70,4;74,8;66,4;2,7;941,6;
2022/01/28;1800;0,3;22,2;23,8;20,7;53,7;58,0;48,9;1,1;942,5;
2022/01/28;2100;0,2;23,7;25,0;21,5;83,2;88,1;77,9;7,5;938,7;
2022/01/29;0000;0,9;20,7;22,9;18,7;73,7;78,6;67,6;2,7;949,4;
2022/01/29;0300;0,3;22,3;24,6;20,5;76,1;79,5;70,6;2,6;935,4;
2022/01/29;0600;1,0;21,1;23,4;18,1;70,3;75,6;64,8;2,7;942,9;
2022/01/29;0900;0,2;20,6;23,0;18,6;72,5;76,9;66,4;1,2;935,6;
2022/01/29;1200;0,2;23,9;25,7;22,2;71,2;75,0;65,8;1,9;942,0;
2022/01/29;1500;1,3;24,2;27,4;22,4;67,9;72,3;64,4;1,6;940,8;
2022/01/29;1800;0,0;18,4;19,5;17,4;73,5;78,9;66,8;0,2;945,9;
2022/01/29;2100;0,0;17,5;19,0;15,2;71,3;77,3;64,9;1,5;941,9;
2022/01/30;0000;2,2;18,6;20,9;17,2;68,0;71,9;64,0;7,4;939,1;
2022/01/30;0300;0,1;20,6;22,9;18,0;69,1;72,9;64,4;0,7;944,8;
2022/01/30;0600;0,8;17,2;19,9;16,3;62,3;66,2;57,7;0,3;936,8;
2022/01/30;0900;0,2;21,9;23,6;20,4;67,2;71,0;61,2;0,7;946,7;
2022/01/30;1200;0,1;21,8;23,8;20,1;65,3;71,2;59,3;1,5;940,3;
2022/01/30;1500;0,8;20,3;22,3;18,2;70,1;76,1;65,8;0,1;944,9;
2022/01/30;1800;0,0;20,4;22,8;17,9;74,3;78,7;71,1;0,5;942,4;
2022/01/30;2100;0,1;20,2;22,2;17,7;65,4;70,5;62,0;1,3;941,8;
2022/01/31;0000;0,1;22,8;26,1;20,8;62,5;68,1;57,9;2,1;932,3;
2022/01/31;0300;0,3;22,5;24,2;20,8;78,7;83,2;73,3;1,8;937,2;
2022/01/31;0600;0,4;23,5;25,0;21,1;71,0;76,4;66,3;0,2;949,4;
2022/01/31;0900;0,5;22,4;24,3;20,7;68,2;74,8;63,7;0,1;937,9;
2022/01/31;1200;0,0;18,1;20,5;15,8;81,8;87,6;76,9;3,1;947,5;
2022/01/31;1500;0,1;25,4;27,5;23,2;57,9;63,2;52,8;2,2;939,7;
2022/01/31;1800;0,1;28,4;30,8;26,0;76,7;82,7;71,6;1,1;945,3;
2022/01/31;2100;0,1;23,2;24,6;21,8;56,5;61,2;50,3;1,4;932,6;
2022/02/01;0000;0,1;17,1;18,8;14,2;64,6;68,2;60,1;0,2;936,7;
2022/02/01;0300;0,1;19,8;22,0;17,8;63,0;68,6;55,8;3,2;942,1;
2022/02/01;0600;0,1;21,7;23,1;20,9;65,2;69,8;61,4;1,2;949,4;
2022/02/01;0900;0,2;17,7;19,3;16,0;78,4;84,1;73,4;1,2;936,7;
2022/02/01;1200;0,8;21,6;23,4;19,1;74,8;79,1;69,1;0,2;932,6;
2022/02/01;1500;0,0;22,3;24,8;20,0;66,3;72,1;63,1;3,2;934,2;
2022/02/01;1800;0,7;18,6;19,7;16,1;82,8;87,6;76,6;8,9;934,9;
2022/02/01;2100;0,1;20,2;22,0;18,8;74,9;79,8;70,4;3,9;940,4;
2022/02/02;0000;0,0;28,2;30,5;26,0;71,6;78,5;66,3;1,2;941,6;
2022/02/02;0300;0,2;23,2;26,1;21,3;72,9;77,6;67,3;0,1;943,2;
2022/02/02;0600;0,4;21,8;24,0;19,3;83,2;86,8;77,3;0,4;941,5;
2022/02/02;0900;0,1;19,6;22,4;17,8;78,9;83,9;75,5;4,6;939,4;
2022/02/02;1200;0,0;18,7;21,0;16,8;70,3;74,0;63,8;3,5;947,9;
2022/02/02;1500;0,3;20,2;21,8;17,0;73,1;77,3;67,8;1,6;940,2;
2022/02/02;1800;0,6;21,4;23,8;19,6;60,9;66,0;57,8;0,0;952,7;
2022/02/02;2100;0,1;24,6;26,8;23,5;71,8;75,4;66,0;1,4;946,1;
2022/02/03;0000;0,0;16,9;18,1;15,3;61,4;65,8;54,9;0,1;936,9;
2022/02/03;0300;0,2;19,5;21,6;17,2;79,9;86,8;75,6;1,0;939,0;
2022/02/03;0600;0,1;20,7;22,3;19,1;63,2;69,0;59,6;2,2;947,7;
2022/02/03;0900;0,7;17,3;18,7;15,2;70,7;76,5;66,7;6,7;938,1;
2022/02/03;1200;0,2;21,4;23,7;19,2;77,3;83,6;72,4;3,1;940,6;
2022/02/03;1500;0,3;22,6;24,6;20,2;73,8;77,3;70,5;0,3;941,6;
2022/02/03;1800;0,0;16,6;18,6;15,0;74,9;78,7;69,4;0,1;945,3;
2022/02/03;2100;0,1;22,9;25,1;20,4;77,6;80,7;71,5;1,9;947,7;
2022/02/04;0000;0,7;17,8;18,7;15,3;81,4;86,8;75,6;0,6;939,8;
2022/02/04;0300;0,2;22,3;24,4;20,0;63,7;67,5;57,3;5,9;945,4;
2022/02/04;0600;0,8;18,5;20,7;17,0;79,3;83,0;74,3;0,1;943,2;
2022/02/04;0900;0,1;22,8;25,3;21,3;75,8;80,5;70,7;2,5;930,7;
2022/02/04;1200;0,2;22,5;25,2;19,4;77,2;82,8;71,3;0,1;944,3;
2022/02/04;1500;0,1;20,9;22,0;18,3;76,7;80,5;72,9;5,6;941,6;
2022/02/04;1800;0,1;32,3;34,3;30,6;56,5;61,9;50,8;0,1;938,5;
2022/02/04;2100;0,2;18,5;20,0;17,9;62,4;67,8;58,3;0,6;942,1;
