REGIAO: Sudeste;
UF: SP;
ESTACAO: A701;
NOME: SAO PAULO - IAG;
CODIGO (WMO): A701;
LATITUDE: -23.651;
LONGITUDE: -46.623;
DATA DE FUNDACAO: 01/01/1960;

Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);VENTO, VELOCIDADE HORARIA (m/s);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mb);
2023/01/23;0600;0,2;18,8;20,4;16,3;63,3;68,0;59,3;2,5;948,3;
2023/01/23;0900;0,5;21,4;23,2;19,0;70,7;77,1;65,9;1,0;937,7;
2023/01/23;1200;0,0;22,3;23,9;21,0;72,7;76,8;69,5;0,9;945,4;
2023/01/23;1500;0,2;17,8;18,9;15,9;68,6;72,7;63,4;2,1;938,5;
2023/01/23;1800;0,3;17,7;19,9;15,5;68,3;71,6;61,8;0,6;946,2;
2023/01/23;2100;0,0;20,6;23,0;18,1;62,4;68,9;57,1;2,5;929,2;
2023/01/24;0000;0,8;22,1;23,8;19,9;65,9;70,3;61,9;2,3;940,0;
2023/01/24;0300;0,4;20,6;22,6;18,1;62,7;66,4;58,9;0,8;931,8;
2023/01/24;0600;0,1;16,4;18,3;14,1;71,1;77,0;66,7;0,3;942,8;
2023/01/24;0900;0,4;29,7;31,7;27,8;63,3;70,0;58,7;1,3;936,9;
2023/01/24;1200;0,3;19,8;21,8;19,1;78,8;83,5;72,9;5,5;937,8;
2023/01/24;1500;0,0;21,7;23,0;19,6;75,4;80,5;70,4;1,2;937,0;
2023/01/24;1800;0,0;19,9;22,9;17,9;74,9;79,9;69,8;0,3;940,7;
2023/01/24;2100;0,4;20,8;23,1;19,2;59,1;64,3;53,0;3,1;936,8;
2023/01/25;0000;0,2;26,2;29,1;23,9;70,0;73,4;64,0;3,8;941,8;
2023/01/25;0300;0,2;18,4;20,1;17,1;73,2;77,8;67,0;8,3;941,2;
2023/01/25;0600;0,0;26,2;28,9;24,3;73,4;79,8;69,6;3,3;947,4;
2023/01/25;0900;0,1;23,1;24,2;21,3;82,2;88,1;78,2;4,8;935,1;
2023/01/25;1200;0,2;20,7;22,5;19,0;89,0;93,6;84,7;6,4;935,4;
2023/01/25;1500;0,1;20,7;22,7;18,5;73,5;77,5;67,9;0,5;944,5;
2023/01/25;1800;0,4;21,0;23,1;18,9;70,7;74,3;64,7;0,9;945,8;
2023/01/25;2100;0,2;18,2;20,4;15,5;75,7;79,0;70,7;2,7;944,2;
2023/01/26;0000;0,0;16,5;19,6;14,6;82,6;87,3;77,1;0,3;936,6;
2023/01/26;0300;1,8;19,5;22,4;17,0;70,8;76,7;66,5;5,8;940,0;
2023/01/26;0600;0,2;21,8;23,4;20,2;55,9;59,9;49,1;0,6;940,8;
2023/01/26;0900;0,1;20,8;23,2;18,9;78,6;84,1;75,0;1,2;945,8;
2023/01/26;1200;0,1;22,9;24,8;20,1;79,8;83,9;73,9;1,1;936,9;
2023/01/26;1500;0,1;17,5;19,5;14,5;71,6;77,1;67,6;0,0;937,3;
2023/01/26;1800;0,0;23,1;25,1;21,5;79,0;84,1;71,9;0,2;943,3;
2023/01/26;2100;0,0;18,1;20,2;16,7;87,0;91,0;80,9;0,2;944,8;
2023/01/27;0000;0,5;19,5;21,7;17,4;77,7;82,9;73,4;3,2;935,3;
2023/01/27;0300;0,3;14,6;16,9;12,4;74,5;80,8;68,6;5,0;946,5;
2023/01/27;0600;0,1;17,8;20,6;15,9;66,2;71,8;63,0;0,4;936,7;
2023/01/27;0900;0,3;27,3;29,3;25,6;70,6;76,5;67,5;0,0;940,6;
2023/01/27;1200;0,0;20,1;22,2;18,7;69,6;74,5;65,9;0,3;949,3;
2023/01/27;1500;0,0;22,7;25,2;20,9;72,7;76,5;68,3;0,1;935,5;
2023/01/27;1800;0,1;22,4;25,3;19,9;85,5;91,3;80,1;0,3;935,4;
2023/01/27;2100;0,4;22,5;24,3;20,1;60,1;65,0;55,1;0,8;948,9;
2023/01/28;0000;0,2;24,0;25,9;21,8;69,0;74,0;63,2;1,7;941,2;
2023/01/28;0300;0,0;25,8;27,1;24,0;71,5;75,5;67,0;0,4;931,7;
2023/01/28;0600;0,5;17,7;19,6;16,2;74,4;79,7;69,0;0,9;942,5;
2023/01/28;0900;0,3;22,2;24,3;20,3;81,5;87,6;76,9;1,3;940,8;
2023/01/28;1200;0,1;20,7;23,3;17,4;73,5;76,8;67,0;0,6;948,9;
2023/01/28;1500;0,0;17,6;20,3;15,7;56,2;62,1;53,5;0,7;939,8;
2023/01/28;1800;0,0;16,6;18,4;14,3;74,4;79,6;68,4;1,4;941,4;
2023/01/28;2100;0,2;19,5;21,9;17,5;76,7;81,5;71,2;1,1;943,3;
2023/01/29;0000;0,1;19,8;21,7;17,2;74,6;80,1;68,1;2,4;946,2;
2023/01/29;0300;0,2;21,8;23,5;19,9;66,0;71,1;61,1;2,3;946,2;
2023/01/29;0600;0,0;17,6;19,9;15,1;74,0;77,5;69,8;1,9;935,0;
2023/01/29;0900;0,7;27,9;29,4;25,3;74,3;79,9;68,2;0,6;936,6;
2023/01/29;1200;0,5;16,0;18,8;13,9;63,5;69,6;58,4;0,7;928,4;
2023/01/29;1500;0,1;22,8;25,5;21,2;60,7;66,1;56,4;0,1;951,2;
2023/01/29;1800;0,1;23,1;24,2;21,1;80,0;84,9;76,1;1,2;938,5;
2023/01/29;2100;0,1;24,8;26,5;22,5;59,1;66,0;53,0;0,5;937,5;
2023/01/30;0000;0,2;22,3;24,8;21,4;80,6;85,9;76,8;1,0;941,1;
2023/01/30;0300;0,1;19,7;22,2;16,7;67,8;72,1;61,1;3,2;938,9;
2023/01/30;0600;0,3;24,9;26,3;22,8;73,4;78,2;69,0;2,2;935,7;
2023/01/30;0900;0,2;15,8;18,5;14,3;71,5;76,6;66,2;0,0;931,6;
2023/01/30;1200;0,6;21,3;23,7;19,2;74,6;79,0;67,9;0,4;940,6;
2023/01/30;1500;0,2;22,9;25,5;21,3;77,6;83,3;72,4;0,4;941,1;
2023/01/30;1800;0,2;15,8;17,6;13,8;59,8;65,1;53,6;10,3;937,4;
2023/01/30;2100;0,0;22,6;24,1;21,8;83,6;89,6;79,7;0,2;932,8;
2023/01/31;0000;0,2;21,8;23,8;19,4;68,3;74,5;63,5;3,7;935,7;
2023/01/31;0300;0,5;20,4;22,7;18,2;71,4;75,4;66,5;0,7;936,7;
2023/01/31;0600;0,0;19,2;20,8;17,0;63,7;68,1;56,8;5,3;939,2;
2023/01/31;0900;0,0;23,5;26,8;21,4;75,2;80,5;70,5;1,1;940,6;
2023/01/31;1200;0,1;24,0;25,1;22,0;68,8;72,8;63,2;0,3;943,6;
2023/01/31;1500;0,1;15,7;18,2;13,7;68,5;72,1;63,4;3,6;940,1;
2023/01/31;1800;0,2;18,6;20,8;16,9;75,0;79,0;69,2;3,1;946,7;
2023/01/31;2100;0,0;23,8;26,0;21,8;66,6;72,8;60,6;4,3;934,8;
2023/02/01;0000;0,3;21,8;23,4;19,6;77,0;80,4;72,1;6,8;948,9;
2023/02/01;0300;0,0;16,8;19,5;15,2;53,9;59,2;49,0;0,1;940,5;
2023/02/01;0600;0,3;23,1;25,4;21,4;77,5;80,5;72,6;3,7;940,2;
2023/02/01;0900;0,2;20,5;22,7;18,6;76,0;80,5;69,5;2,5;942,7;
2023/02/01;1200;0,4;25,2;26,6;22,8;70,1;75,2;64,4;2,7;941,8;
2023/02/01;1500;0,4;23,1;25,0;21,4;72,3;75,2;66,9;0,1;944,3;
2023/02/01;1800;0,1;23,4;25,1;22,4;76,2;80,4;72,5;2,1;939,1;
2023/02/01;2100;0,3;26,8;28,5;25,3;75,1;80,4;71,8;2,0;940,3;
2023/02/02;0000;0,4;20,7;22,9;18,4;79,1;84,0;72,8;0,6;935,0;
2023/02/02;0300;0,5;16,1;18,4;12,6;73,6;78,4;67,4;7,3;937,8;
2023/02/02;0600;0,7;16,2;18,7;13,4;72,0;77,3;67,6;0,5;940,2;
2023/02/02;0900;0,1;21,6;22,0;19,5;60,4;65,9;54,3;0,6;942,8;
2023/02/02;1200;0,0;21,3;23,7;18,8;73,9;77,9;67,7;1,3;937,6;
2023/02/02;1500;0,3;16,9;19,4;15,0;65,5;71,1;59,7;1,6;931,3;
2023/02/02;1800;0,2;21,8;23,9;18,6;62,3;66,8;56,7;3,9;935,9;
2023/02/02;2100;0,2;25,4;27,4;23,4;78,4;84,9;73,2;4,0;942,4;
2023/02/03;0000;0,1;19,9;21,7;18,4;62,3;69,5;58,2;6,8;945,2;
2023/02/03;0300;0,1;21,8;24,5;19,9;73,0;78,8;67,8;1,6;942,6;
2023/02/03;0600;0,0;23,8;26,4;21,9;69,4;74,7;62,5;2,7;938,6;
2023/02/03;0900;0,9;23,4;25,3;21,1;60,8;67,6;55,4;8,8;938,6;
2023/02/03;1200;0,1;20,7;22,8;17,7;83,4;88,1;78,3;1,4;938,8;
2023/02/03;1500;0,5;22,1;23,6;19,2;62,0;66,0;56,3;0,9;941,4;
2023/02/03;1800;0,0;22,2;25,1;21,1;66,8;73,5;61,3;1,0;941,7;
2023/02/03;2100;0,0;18,1;19,4;15,8;77,8;83,7;73,2;1,4;937,7;
2023/02/04;0000;0,0;23,5;25,4;21,5;69,6;75,1;64,3;3,0;949,5;
2023/02/04;0300;0,1;20,3;23,2;19,2;74,9;78,3;70,9;0,4;935,1;
2023/02/04;0600;0,1;28,1;29,7;26,9;74,9;80,1;67,7;1,4;937,9;
2023/02/04;0900;1,1;20,2;21,6;18,5;69,8;74,7;66,2;0,2;943,0;
2023/02/04;1200;0,1;26,4;28,5;23,8;72,5;76,5;67,2;0,9;939,6;
2023/02/04;1500;0,6;24,0;25,8;21,0;78,6;83,1;74,2;0,4;950,7;
2023/02/04;1800;0,0;22,8;23,9;21,7;77,9;81,9;72,9;4,7;932,4;
2023/02/04;2100;0,1;20,5;22,6;19,5;71,4;76,5;66,9;6,3;934,5;
2023/02/05;0000;0,4;20,4;22,2;17,4;70,0;74,5;65,1;5,8;942,1;
